subject,n_pairs,residual_median,residual_mean,frac_beat_control,wilcoxon_p,cliffs_delta
47,46,4.091484123764998e-05,5.4637831466406494e-05,0.6304347826086957,0.1492450783282673,0.05056710775047259
48,46,0.00011960268392224995,0.00024057898357450442,0.6739130434782609,0.01800735080710442,0.11578449905482041
49,46,8.171851881539998e-05,6.56978131504761e-05,0.5652173913043478,0.16693435405146717,0.09735349716446125
50,46,9.653573251255004e-05,0.00018942312463236306,0.6739130434782609,0.008325982683989175,0.16871455576559546
51,46,9.950503170485001e-05,9.634975609983043e-05,0.6521739130434783,0.08429359907126827,0.09026465028355388
52,46,1.6471871137250008e-05,5.980005391176359e-05,0.5434782608695652,0.28672426420611374,0.12618147448015124
53,46,8.072192384455e-05,5.117706159956086e-05,0.6956521739130435,0.14466850083845734,0.10491493383742911
54,46,0.00012147764139890002,0.00022946134543117824,0.6521739130434783,0.03944690044586318,0.1441398865784499
55,46,7.878592527319996e-05,0.00019420540275696084,0.5869565217391305,0.028125335928674503,0.0949905482041588
56,46,0.00015562108472239993,0.00017135477458608258,0.6304347826086957,0.10704621075394308,0.11389413988657845
57,46,6.225753668735002e-05,0.00017597743677510652,0.6304347826086957,0.07672224476066884,0.1323251417769376
58,46,4.1307263334299925e-05,8.934940655986085e-05,0.5869565217391305,0.2231282701290327,0.08459357277882798
59,46,3.687791017264997e-05,0.00011300674386793479,0.6086956521739131,0.22107013583255597,0.13468809073724008
61,46,2.2079985366750044e-05,0.00011369592464951517,0.5434782608695652,0.24458437262675492,0.0997164461247637
62,46,9.270876480625001e-05,3.7237060812463046e-05,0.6521739130434783,0.10469315918030059,0.054820415879017016
63,46,0.00015267489825975005,0.00010954399425352609,0.5869565217391305,0.2581279980466926,0.1786389413988658
64,46,0.00010869653794150008,0.0002794288681169478,0.6521739130434783,0.04439164628692068,0.09924385633270322
65,46,5.124053660164997e-05,3.8923711965123914e-05,0.5652173913043478,0.2627274899950869,0.08790170132325142
66,46,8.899673512095005e-05,3.1213347680108676e-05,0.5652173913043478,0.39408644084638855,0.04064272211720227
67,46,6.726924887104997e-05,0.00013212798954109566,0.6521739130434783,0.1492450783282673,0.16257088846880907
68,46,-6.728170980350003e-06,1.7876782798228266e-05,0.4782608695652174,0.8827380524217481,0.02551984877126654
69,46,0.00011204315370650004,0.00015117599143913478,0.6956521739130435,0.03382279215545286,0.1323251417769376
70,46,9.397267296394997e-05,7.331684388245654e-05,0.6086956521739131,0.2050021314665723,0.1219281663516068
72,46,3.7478741498849974e-05,1.1821938921239136e-05,0.5434782608695652,0.5773636069056507,0.031190926275992438
73,46,2.979958037400022e-06,3.896619042323695e-05,0.5,0.6162644134111035,0.08648393194706994
75,46,0.0001224048200487,0.00011964766590415219,0.6304347826086957,0.02655710336742474,0.1828922495274102
76,46,0.00010292167618520002,0.00012970688259621301,0.6521739130434783,0.041041960411917745,0.0997164461247637
77,46,0.00016013088881969983,0.00010814203056423481,0.6086956521739131,0.03690121085281952,0.18620037807183365
78,46,8.602016670509994e-05,0.0001666061348447087,0.6956521739130435,0.008459633437488595,0.14933837429111532
79,46,0.00010361881370434992,0.00011523570555142176,0.6086956521739131,0.022081196918739582,0.15264650283553874
80,46,2.9450123187350007e-05,5.934840042333043e-05,0.5869565217391305,0.1416865136406016,0.166351606805293
81,46,2.9355743215900016e-05,1.8123980594145674e-05,0.6086956521739131,0.2089135141144448,0.06947069943289225
82,46,5.148284430025004e-05,7.975044328239564e-05,0.5652173913043478,0.09457967253255961,0.1053875236294896
83,46,0.00010028670652435003,8.553866144711523e-05,0.6521739130434783,0.16361171092089877,0.15642722117202268
84,46,0.0001675667177352,0.0001336214015029239,0.6086956521739131,0.06172101066339776,0.2391304347826087
85,46,6.275777316234999e-05,9.926902421534995e-05,0.5869565217391305,0.27216869247211173,0.12429111531190926
86,46,6.334172324730001e-05,0.0001139382463671109,0.5869565217391305,0.10469833894561537,0.12051039697542533
87,46,9.752143659479996e-05,0.0001909646451741174,0.6521739130434783,0.018546474375286153,0.13752362948960303
